,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
347,01701,13563,13189,374,10311,2878,2.56,2.21,13189,748,7136,3175
348,01702,15460,14810,650,5150,9660,2.71,2.32,14810,2099,3759,1391
349,01718,228,228,0,156,72,2.95,4.26,228,0,142,14
350,01719,2254,2180,74,1637,543,2.70,1.93,2180,39,1121,516
351,01720,8890,8678,212,6213,2465,2.84,2.16,8678,354,4494,1719
352,01721,7990,7587,403,5792,1795,2.47,2.37,7587,357,3951,1841
353,01730,5783,5540,243,3914,1626,2.73,1.98,5540,289,2446,1468
354,01731,478,478,0,0,478,-,3.87,478,0,0,0
355,01740,2005,1853,152,1743,110,3.07,2.12,1853,9,1261,482
356,01741,1901,1800,101,1675,125,3.02,1.31,1800,0,1049,626
357,01742,6786,6357,429,4745,1612,2.90,1.96,6357,315,2888,1857
358,01745,215,215,0,147,68,2.53,2.44,215,0,119,28
359,01746,5486,5354,132,4828,526,2.78,1.76,5354,210,3275,1553
360,01747,2169,2116,53,1673,443,3.03,1.94,2116,166,1053,620
361,01748,6924,6556,368,5722,834,2.94,1.94,6556,59,4516,1206
362,01749,8479,8035,444,5795,2240,2.64,2.10,8035,427,3532,2263
363,01752,18276,17147,1129,9877,7270,2.58,2.13,17147,1449,6897,2980
364,01754,4515,4269,246,3369,900,2.68,1.81,4269,153,2433,936
365,01756,2189,2076,113,1895,181,2.97,3.08,2076,43,1388,507
366,01757,12028,11487,541,8127,3360,2.66,2.52,11487,804,5939,2188
